Produto,Região,Preço,Dia,Mês,Ano,Data
Alface Crespa,Ibiúna,"R$ 11,75",6,8,2013,2013-08-06 00:00:00
Alface Lisa,Ibiúna,"R$ 9,50",6,8,2013,2013-08-06 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,33",16,8,2013,2013-08-16 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 11,50",16,8,2013,2013-08-16 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,00",16,8,2013,2013-08-16 00:00:00
Alface Americana,Ibiúna,"R$ 15,00",16,8,2013,2013-08-16 00:00:00
Alface Crespa,Ibiúna,"R$ 9,00",16,8,2013,2013-08-16 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",16,8,2013,2013-08-16 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,67",23,8,2013,2013-08-23 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,00",23,8,2013,2013-08-23 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",23,8,2013,2013-08-23 00:00:00
Alface Americana,Ibiúna,"R$ 10,00",23,8,2013,2013-08-23 00:00:00
Alface Crespa,Ibiúna,"R$ 9,50",23,8,2013,2013-08-23 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",23,8,2013,2013-08-23 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,00",29,8,2013,2013-08-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,00",29,8,2013,2013-08-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,00",29,8,2013,2013-08-29 00:00:00
Alface Americana,Ibiúna,"R$ 12,00",29,8,2013,2013-08-29 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",29,8,2013,2013-08-29 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",29,8,2013,2013-08-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,40",4,9,2013,2013-09-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,67",4,9,2013,2013-09-04 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,50",4,9,2013,2013-09-04 00:00:00
Alface Americana,Ibiúna,"R$ 11,33",4,9,2013,2013-09-04 00:00:00
Alface Crespa,Ibiúna,"R$ 6,75",4,9,2013,2013-09-04 00:00:00
Alface Lisa,Ibiúna,"R$ 6,67",4,9,2013,2013-09-04 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,25",13,9,2013,2013-09-13 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,75",13,9,2013,2013-09-13 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",13,9,2013,2013-09-13 00:00:00
Alface Americana,Ibiúna,"R$ 8,00",13,9,2013,2013-09-13 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",13,9,2013,2013-09-13 00:00:00
Alface Lisa,Ibiúna,"R$ 8,00",13,9,2013,2013-09-13 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 6,25",20,9,2013,2013-09-20 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,50",20,9,2013,2013-09-20 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 6,00",20,9,2013,2013-09-20 00:00:00
Alface Americana,Ibiúna,"R$ 7,00",20,9,2013,2013-09-20 00:00:00
Alface Crespa,Ibiúna,"R$ 5,50",20,9,2013,2013-09-20 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",20,9,2013,2013-09-20 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 6,33",27,9,2013,2013-09-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,00",27,9,2013,2013-09-27 00:00:00
Alface Americana,Ibiúna,"R$ 6,00",27,9,2013,2013-09-27 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",27,9,2013,2013-09-27 00:00:00
Alface Lisa,Ibiúna,"R$ 5,67",27,9,2013,2013-09-27 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 6,00",4,10,2013,2013-10-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,33",4,10,2013,2013-10-04 00:00:00
